title,Username,question_id,Answer Post Date (Cleo),Question Post Date
"Closed form for $\int_{-\infty}^0\operatorname{Ei}^3x\,dx$",Vladimir Reshetnikov,https://math.stackexchange.com/questions/714628,01-10-2014 03:54,16-03-2014 19:56
Improper integral containing $\sqrt{\cos x-\frac1{\sqrt 2}}$ in the denominator,user1001001,https://math.stackexchange.com/questions/904320,21-08-2014 02:19,20-08-2014 18:18
How to find ${\large\int}_1^\infty\frac{1-x+\ln x}{x \left(1+x^2\right) \ln^2 x} \mathrm dx$?,Laila Podlesny,https://math.stackexchange.com/questions/905653,22-08-2014 04:09,22-08-2014 01:29
How to find ${\large\int}_0^1\frac{\ln^3(1+x)\ln x}x\mathrm dx$,Oksana Gimmel,https://math.stackexchange.com/questions/908108,25-08-2014 04:19,24-08-2014 21:24
Infinite Series $\sum_{n=1}^\infty\frac{H_n}{n^32^n}$,OlegK,https://math.stackexchange.com/questions/909228,26-08-2014 03:01,25-08-2014 23:34
Closed Form for the Imaginary Part of $\text{Li}_3\Big(\frac{1+i}2\Big)$,Lucian,https://math.stackexchange.com/questions/918680,06-09-2014 01:10,03-09-2014 23:05
Closed form for ${\large\int}_0^1\frac{\ln^2x}{\sqrt{1-x+x^2}}dx$,Vladimir Reshetnikov,https://math.stackexchange.com/questions/918821,04-09-2014 22:08,04-09-2014 02:15
Integral of Combination Log and Inverse Trig Function,Anastasiya-Romanova 秀,https://math.stackexchange.com/questions/927427,12-09-2014 23:03,11-09-2014 10:21
Closed-forms for several tough integrals,Tunk-Fey,https://math.stackexchange.com/questions/930011,15-09-2014 00:10,13-09-2014 18:58
Simplification of an expression containing $\operatorname{Li}_3(x)$ terms,Oksana Gimmel,https://math.stackexchange.com/questions/935366,21-09-2014 23:16,17-09-2014 18:30
Integral $\int_0^1\frac{x^{42}}{\sqrt{x^4-x^2+1}}\operatorname d \!x$,Piotr Shatalin,https://math.stackexchange.com/questions/964438,09-10-2014 01:21,08-10-2014 22:48
Extract real and imaginary parts of $\operatorname{Li}_2\left(i\left(2\pm\sqrt3\right)\right)$,OlegK,https://math.stackexchange.com/questions/967398,11-10-2014 04:15,11-10-2014 01:05
"Evaluate $\int_0^1\frac{\ln(1-x)}{x}\text{Li}_3\left(\frac{1+x}{2}\right)dx$ , $\int_0^1\frac{\ln^2(1-x)}{x}\text{Li}_2\left(\frac{1+x}{2} \right)dx$",xuce1234,https://math.stackexchange.com/questions/970125,12-10-2014 19:19,12-10-2014 13:17
Evaluate $\int_0^{\pi/2}\frac{x^2\log^2{(\sin{x})}}{\sin^2x}dx$,user178256,https://math.stackexchange.com/questions/1142705,18-02-2015 04:47,10-02-2015 22:03
"Closed form for $\int_0^\infty\arctan\Bigl(\frac{2\pi}{x-\ln\,x+\ln(\frac\pi2)}\Bigr)\frac{dx}{x+1}$",Laila Podlesny,https://math.stackexchange.com/questions/1150822,16-02-2015 18:51,16-02-2015 17:46
Closer form for $\int_0^\infty\frac{(\arctan{x})^2\log^2({1+x^2})}{x^2}dx$,user178256,https://math.stackexchange.com/questions/1153708,18-02-2015 04:16,17-02-2015 22:35
"Integrals of the form ${\large\int}_0^\infty\operatorname{arccot}(x)\cdot\operatorname{arccot}(a\,x)\cdot\operatorname{arccot}(b\,x)\ dx$",Vladimir Reshetnikov,https://math.stackexchange.com/questions/1279165,12-05-2015 23:54,12-05-2015 18:32
"Integral $\int_0^1\frac{\log(x)\log(1+x)}{\sqrt{1-x}}\,dx$",OlegK,https://math.stackexchange.com/questions/1372767,24-07-2015 20:17,24-07-2015 18:23
"A difficult logarithmic integral ${\Large\int}_0^1\log(x)\,\log(2+x)\,\log(1+x)\,\log\left(1+x^{-1}\right)dx$",Laila Podlesny,https://math.stackexchange.com/questions/1376159,04-08-2015 17:15,27-07-2015 22:43
"Closed form solution to $\int_0^1\arctan^2(x)\,\sqrt{x}\,dx$",Liu Jin Tsai,https://math.stackexchange.com/questions/1550806,29-11-2015 03:37,29-11-2015 02:30
"Yet another log-sin integral $\int\limits_0^{\pi/3}\log(1+\sin x)\log(1-\sin x)\,dx$",X.C.,https://math.stackexchange.com/questions/1588996,25-12-2015 23:17,25-12-2015 21:54
Integral ${\large\int}_0^{\pi/2}\arctan^2\!\left(\frac{\sin x}{\sqrt3+\cos x}\right)dx$,Oksana Gimmel,https://math.stackexchange.com/questions/1595389,31-12-2015 20:43,31-12-2015 19:11
